Site,Archive or Source (site visit),Location in Archive or Date of My Visit,Type,Item (File Name),Title,PDF?
Bernau,My Visit,"June 16, 2012",Photos,DSC03051.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03052.jpg,Window Fastener,
Bernau,My Visit,"June 16, 2012",Photos,DSC03053.jpg,"Hallway, looking NE, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03054.JPG,"Colored Glass, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03055.JPG,"Colored Glass, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03056.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03057.jpg,Window Fastener (elevated window),
Bernau,My Visit,"June 16, 2012",Photos,DSC03058.jpg,"Window, South Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03059.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03060.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03061.jpg,Shower,
Bernau,My Visit,"June 16, 2012",Photos,DSC03062.jpg,Bathtub,
Bernau,My Visit,"June 16, 2012",Photos,DSC03063.JPG,"Window Fastener, Bathroom",
Bernau,My Visit,"June 16, 2012",Photos,DSC03064.JPG,Window Mechanism,
Bernau,My Visit,"June 16, 2012",Photos,DSC03065.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03066.jpg,Stairwell,
Bernau,My Visit,"June 16, 2012",Photos,DSC03067.JPG,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03068.JPG,"Colored Glass, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03069.jpg,"Hallway, looking NE, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03070.JPG,"Colored Glass, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03071.JPG,Exit on NE corner of bldg. (South Side),
Bernau,My Visit,"June 16, 2012",Photos,DSC03072.JPG,Gymnasium (windows looking out North),
Bernau,My Visit,"June 16, 2012",Photos,DSC03073.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03074.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03075.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03076.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03077.JPG,Gymnasium (windows looking out South),
Bernau,My Visit,"June 16, 2012",Photos,DSC03078.jpg,"Hallway, looking southwest, North Side",
Bernau,My Visit,"June 16, 2012",Photos,DSC03079.jpg,Stairway window,
Bernau,My Visit,"June 16, 2012",Photos,DSC03080.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03081.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03082.jpg,Stairway window,
Bernau,My Visit,"June 16, 2012",Photos,DSC03083.jpg,Exit on NE corner of bldg. (South Side),
Bernau,My Visit,"June 16, 2012",Photos,DSC03084.jpg,"Stairway window, mechanism",
Bernau,My Visit,"June 16, 2012",Photos,DSC03085.jpg,Upstairs Classroom,
Bernau,My Visit,"June 16, 2012",Photos,DSC03086.jpg,"Upstairs Classroom, looking southwest (1950 addition visible)",
Bernau,My Visit,"June 16, 2012",Photos,DSC03087.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03088.jpg,"Upstairs Classroom, Elevated Window Mechanism",
Bernau,My Visit,"June 16, 2012",Photos,DSC03089.jpg,"Upstairs Classroom, Elevated Window",
Bernau,My Visit,"June 16, 2012",Photos,DSC03090.jpg,"Upstairs Classroom, Elevated Window Mechanism",
Bernau,My Visit,"June 16, 2012",Photos,DSC03091.JPG,"Looking southwest at North Side, from upstairs classroom",
Bernau,My Visit,"June 16, 2012",Photos,DSC03092.JPG,"Side-by-Side view of Wohngebäude, 2001 and 2007",
Bernau,My Visit,"June 16, 2012",Photos,DSC03093.jpg,,
Bernau,My Visit,"June 16, 2012",Photos,DSC03094.jpg,Baudenkmal Placard,
Bernau,My Visit,"June 16, 2012",Photos,DSCO3008.jpg,Window Mechanism (looking south?),
Mümliswil,Bauhaus Archiv,Mappe 3,Typescript,Hannes Meyer,Notes on Kinderheim,1938:39.pdf
Mümliswil,Bauhaus Archiv,Mappe 3,Typescript,Typescript 1938:39.JPG,Notes on Kinderheim,
Mümliswil,Bauhaus Archiv,Mappe 3,Typescript,Typescript 1938:39b.JPG,Notes on Kinderheim,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03293.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03294.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03295.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03296.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03297.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03298.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03299.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,DSC03300.JPG,Kinderheim…,
Mümliswil,Bauhaus Archiv,Mappe Unknown,Article,Hannes Meyer,Kinderheim…,1953.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05348.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05349.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05350.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05351.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05352.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05353.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05354.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05355.JPG,,
